q,asset,pinball_lstm,pinball_base,ratio_lstm_base,ganador
0.1,SPX,0.00415028864517808,0.0043212246020428,0.9604427048795582,LSTM
0.1,CMC200,0.013750373385846615,0.014193105087098153,0.9688065649810491,LSTM
0.3,SPX,0.00843929871916771,0.00845996493525389,0.997557174734843,LSTM
0.3,CMC200,0.02233177423477173,0.02209265127571093,1.0108236424898307,BASE
0.5,SPX,0.007921496406197548,0.008810349856503308,0.899112581817661,LSTM
0.5,CMC200,0.02879316546022892,0.026981595903635025,1.0671409342525153,BASE
0.7,SPX,0.005988227669149637,0.0051773246869237875,1.156625869780569,BASE
0.7,CMC200,0.022708652541041374,0.023605275930215924,0.9620159750800953,LSTM
0.9,SPX,0.0032015701290220022,0.0038023184286430475,0.8420047371373267,LSTM
0.9,CMC200,0.009807278402149677,0.009668639995571639,1.014338977006232,BASE
